month,correct,make_decision
2022-06,0.7083333333333334,1.0
2022-07,0.48,0.92
2022-08,0.8636363636363636,1.0
2022-09,0.4,1.0
2022-10,0.4166666666666667,0.9583333333333334
2022-11,0.36,0.92
2022-12,0.5769230769230769,0.9230769230769231
2023-01,0.9230769230769231,1.0
2023-02,0.5416666666666666,0.9583333333333334
2023-03,0.45,1.0
2023-04,0.47368421052631576,1.0
2023-05,0.5238095238095238,1.0
2023-06,0.55,0.85
2023-07,0.6086956521739131,0.9130434782608695
2023-08,0.5909090909090909,1.0
2023-09,0.5789473684210527,1.0
2023-10,0.8125,1.0
2023-11,0.75,1.0
2023-12,0.4444444444444444,0.8333333333333334
2024-01,0.5652173913043478,0.9565217391304348
2024-02,0.4444444444444444,1.0
