month,correct,make_decision
2022-06,0.7083333333333334,1.0
2022-07,0.44,0.96
2022-08,0.8181818181818182,0.9545454545454546
2022-09,0.44,1.0
2022-10,0.5833333333333334,0.9166666666666666
2022-11,0.32,0.96
2022-12,0.6153846153846154,1.0
2023-01,0.9230769230769231,1.0
2023-02,0.5416666666666666,0.9166666666666666
2023-03,0.35,0.95
2023-04,0.47368421052631576,1.0
2023-05,0.5238095238095238,1.0
2023-06,0.6,0.95
2023-07,0.6521739130434783,0.9565217391304348
2023-08,0.5454545454545454,0.9545454545454546
2023-09,0.631578947368421,1.0
2023-10,0.6875,1.0
2023-11,0.25,0.9375
2023-12,0.3888888888888889,0.8888888888888888
2024-01,0.5217391304347826,0.9130434782608695
2024-02,0.4444444444444444,1.0
