number of features,days_ahead,model,accuracy,confusion,prediction
1000,3,stack,0.865872604867944,"[[1001  125]
 [ 134  671]]",[1. 0. 1. ... 0. 0. 1.]
1000,3,XGBoost,0.8606939409632315,"[[1010  116]
 [ 153  652]]",[1 0 1 ... 0 0 1]
1000,3,Random Forest,0.8239254272397721,"[[993 133]
 [207 598]]",[0. 0. 1. ... 0. 0. 1.]
1000,3,Naive Bayes,0.6944588296219575,"[[1059   67]
 [ 523  282]]",[0. 0. 0. ... 0. 0. 0.]
1000,3,SVM,0.6266183324702227,"[[1095   31]
 [ 690  115]]",[0. 0. 0. ... 0. 0. 0.]
