date,foreign_investor_surplus,investment_trust_surplus,dealer_surplus
2022-03-01 00:00:00,1.100810932501214,0.9108170281168647,1.244620520115879
2022-03-02 00:00:00,-1.5842277442263266,0.74058539432745,0.8239792239983501
2022-03-03 00:00:00,1.2216869348923745,0.5540755329957735,2.3614419897879015
2022-03-04 00:00:00,-0.03295329767181768,2.0228406909827257,-0.5963862426590409
2022-03-07 00:00:00,-1.7066764320434613,0.4147449413204826,-2.1009535572204707
2022-03-08 00:00:00,0.9655406015041865,-1.7408786483013936,-3.381210964252671
2022-03-09 00:00:00,-1.1973196818298923,-0.40937481577673285,0.6991240477007988
2022-03-10 00:00:00,-0.4502284311382363,0.8228042385239582,1.0020884364497478
2022-03-11 00:00:00,0.14481304165318853,0.5280027787119814,0.34108994133357845
2022-03-14 00:00:00,-0.08235896273020772,0.6698164898428716,0.6245983607696899
2022-03-15 00:00:00,-1.2030749372863454,2.335437840226497,-0.11591410019411066
2022-03-16 00:00:00,0.6184706634555681,0.5395906695047779,0.3176253554766105
2022-03-17 00:00:00,1.2594152586286846,0.3504597376366355,2.318513644440193
2022-03-18 00:00:00,-1.368495147608298,-0.2561568267416797,-0.2981084059361258
2022-03-21 00:00:00,0.5622509060345929,0.19085033707395083,-0.4113507070323166
2022-03-22 00:00:00,-1.0375199866355518,-0.15540687590127694,-1.1909278701104276
2022-03-23 00:00:00,0.12875087048804318,-0.016076284225986073,0.35086708961273894
2022-03-24 00:00:00,-1.51582143943698,-0.33557098751308867,-1.7332586802317875
2022-03-25 00:00:00,-1.4102214283917867,-1.2693618538992706,-1.34444225589373
2022-03-28 00:00:00,0.32601676613137537,-0.8192274770314746,-0.10511254352070067
2022-03-29 00:00:00,-0.20763260927739205,-0.07649885764556764,0.5357452066445202
2022-03-30 00:00:00,0.4974544909419401,0.3217659128163776,-0.41110113633291073
2022-03-31 00:00:00,0.277049203971738,0.3984667137782209,-0.18369776815881841
2022-04-01 00:00:00,0.7120728939078148,0.2912787239448536,0.33171294219255937
2022-04-06 00:00:00,0.10852537791082474,-0.17761699992080351,0.21403498980011434
2022-04-07 00:00:00,-1.3245667054237171,0.3372164338734396,-1.282234740270715
2022-04-08 00:00:00,2.444042673363263,0.4198491313125477,0.05001165402561365
2022-04-11 00:00:00,-0.468604943240797,0.6396052031330808,-0.4349343306077297
2022-04-12 00:00:00,0.5348559953998723,0.8527396230720158,0.6195160297053139
2022-04-13 00:00:00,3.295192226646777,7.421004436374614,0.3817478298312295
2022-04-14 00:00:00,1.8576398121887938,2.4329692543992008,-0.2259858938859345
2022-04-15 00:00:00,-0.20894311711811156,1.7251422584725498,0.22356693747966824
2022-04-18 00:00:00,-1.3219019256056486,0.7520353340393798,-1.1498960530734306
2022-04-19 00:00:00,3.3200163200421358,2.0667091346983124,-0.1858202116287181
2022-04-20 00:00:00,1.0757553127056225,2.27032493005745,0.0189523097283705
2022-04-21 00:00:00,2.875706461301209,2.5760245252578904,0.6662589021647637
2022-04-22 00:00:00,1.3063912267840647,2.7343923660927754,0.4616847453376939
2022-04-25 00:00:00,-1.4281178381418937,0.34425193899763745,-0.5514498364535702
2022-04-26 00:00:00,-1.5237106852355449,-0.1983096620507972,-1.3945935211900977
2022-04-27 00:00:00,0.44068284929676915,0.18698770680968535,-0.8857220001731336
2022-04-28 00:00:00,-1.3228678587428315,0.27582820288779164,-0.48800966768065385
2022-04-29 00:00:00,2.9453180173818256,0.522622686558183,0.6824250413482804
2022-05-03 00:00:00,-0.4392264475474182,1.2911481580661488,0.021268367619811532
2022-05-04 00:00:00,0.9352550044875677,0.7851435934473697,0.5485306936246271
2022-05-05 00:00:00,0.4372745678374265,0.7749352134632395,0.10715517400297557
2022-05-06 00:00:00,0.08206113390368308,1.0432500657488244,0.5506678624308069
2022-05-09 00:00:00,-1.2413553895875644,0.2650680185801949,-0.9362509940956294
2022-05-10 00:00:00,0.06745298002480515,-0.1260232956766859,-0.39459517438891634
2022-05-11 00:00:00,-1.5780541774688894,-0.256800920338246,-0.6643359744161208
2022-05-12 00:00:00,0.18846733355756837,-3.7537228692263134,-2.597200334928205
2022-05-13 00:00:00,0.3235155588463046,-3.0514139165343273,0.2611858015756085
2022-05-16 00:00:00,0.01753533972537416,-2.2070153505497183,-0.20527048081138266
2022-05-17 00:00:00,-1.1534074475792864,-2.004503163837513,-0.6106831191545068
2022-05-18 00:00:00,0.5247144712050427,-1.4071749836850287,-0.3207396327618077
2022-05-19 00:00:00,-0.1887277511060065,-3.6716743946146755,-0.397435264247591
2022-05-20 00:00:00,0.6693282553296794,-0.8004661300336136,-0.14617352622374918
2022-05-23 00:00:00,1.8717451400288914,0.23479782675887403,1.3296641822442934
2022-05-24 00:00:00,1.149026305349775,0.43218195794202396,-0.6061575958058589
2022-05-25 00:00:00,0.8752854587371123,0.3498764804667315,1.1929615703887646
2022-05-26 00:00:00,0.24559753162486397,0.40624011923397435,-0.347908068202992
2022-05-27 00:00:00,0.5646344225428096,0.5018684982461229,0.005247106744857392
2022-05-30 00:00:00,0.578457183922585,-0.18558008811274854,0.42919390834968274
2022-05-31 00:00:00,-0.19609204445676315,-0.7197131540223941,-0.1264676062028276
2022-06-01 00:00:00,0.5263609203774327,-0.28925970605751583,0.5446762656016751
2022-06-02 00:00:00,0.8956337460971936,-0.0485665227916935,0.7606538178462494
2022-06-06 00:00:00,-0.6952314705564768,0.13862329941757456,-0.23645893305704324
2022-06-07 00:00:00,0.22497791747726736,-0.155259958000154,-0.37997272545840527
