month,correct,make_decision
2022-06,0.7083333333333334,1.0
2022-07,0.48,0.96
2022-08,0.8636363636363636,1.0
2022-09,0.44,1.0
2022-10,0.4166666666666667,0.9583333333333334
2022-11,0.36,0.92
2022-12,0.5384615384615384,0.9230769230769231
2023-01,0.8461538461538461,0.9230769230769231
2023-02,0.6666666666666666,1.0
2023-03,0.7,1.0
2023-04,0.42105263157894735,0.9473684210526315
2023-05,0.5238095238095238,0.9523809523809523
2023-06,0.8,1.0
2023-07,0.6086956521739131,0.9130434782608695
2023-08,0.5454545454545454,0.9545454545454546
2023-09,0.5789473684210527,1.0
2023-10,0.6875,1.0
2023-11,0.75,1.0
2023-12,0.6111111111111112,1.0
2024-01,0.43478260869565216,0.9565217391304348
2024-02,0.4444444444444444,1.0
